ques_1_1,ques_1_2,ques_1_3,ques_1_4,ques_1_5,ques_1_6,ques_1_7,ques_1_8,ques_1_9,ques_1_10,ques_1_11,ques_1_12,ques_1_13,ques_1_14,ques_1_15,ques_1_16,ques_1_17,ques_1_18,ques_1_19,ques_1_20,ques_1_21,ques_1_22,ques_1_23,ques_1_24,ques_1_25,ques_1_26,ques_1_27,ques_1_28,ques_1_29,ques_1_30,ques_1_31,ques_1_32,id,interview,school,class,studentid,classind,classsize,idt,st_V8,sch_score_68_3,sch_score_68_8,sch_score_68_13,sch_gpa_68,sch_score_70_3,sch_score_70_8,sch_score_70_13,sch_gpa_10,age,iq,edu_father,edu_mother,empmot,int_index,int_5q,intdum1,intdum2,intdum3,intdum4,intdum5,intdum6,iq_d1,iq_d2,iq_d3,iq_d4,iq_d5,iq_d6,edu_fatherd1,edu_fatherd2,edu_fatherd3,edu_fatherd4,edu_fatherdm,edu_motherd1,edu_motherd2,edu_motherd3,edu_motherd4,edu_motherdm,prestige,fem,_merge
2,3,10,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,102107,1,2,1,7,2,35,2107,neusprachlich,4,4,3,3,3,4,3,3.0714285,15,41,2,1,2,9,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,24,0,3
5,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102108,1,2,1,8,2,35,2108,neusprachlich,3,4,3,3.090909,4,4,4,3.2142856,16,38,6,2,2,17,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,43,0,3
1,2,6,7,16,26,33,,,,,,,,,,,,,,,,,,,,,,,,,,102109,1,2,1,9,2,35,2109,neusprachlich,4,4,4,3.5454545,4,5,4,3.6428571,15,19,2,2,2,16,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,42,0,3
1,2,3,6,7,8,9,14,15,16,17,18,20,22,24,25,26,27,29,32,33,35,,,,,,,,,,,102110,1,2,1,10,2,35,2110,neusprachlich,4,4,3,3.3636363,4,3,4,3.3571429,15,46,2,1,3,13,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,39,0,3
2,3,5,6,9,10,15,16,17,20,24,27,28,29,31,32,,,,,,,,,,,,,,,,,102111,1,2,1,11,2,35,2111,neusprachlich,3,4,4,3.2727273,4,4,3,3.1428571,15,33,6,1,1,13,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,38,0,3
1,2,3,4,5,6,7,8,10,13,15,16,17,18,20,24,25,28,30,,,,,,,,,,,,,,102112,1,2,1,12,2,35,2112,neusprachlich,4,4,5,3.5454545,4,4,4,3.7857144,14,44,6,3,3,17,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,62,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102113,1,2,1,13,2,35,2113,neusprachlich,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102114,1,2,1,14,2,35,2114,neusprachlich,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,0,3
5,6,10,19,26,29,33,35,,,,,,,,,,,,,,,,,,,,,,,,,102115,1,2,1,15,2,35,2115,neusprachlich,4,3,3,3.2727273,4,3,2,2.9333334,16,39,1,5,1,17,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,38,1,3
5,6,8,10,20,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,102116,1,2,1,16,2,35,2116,neusprachlich,4,4,4,3.7272727,5,4,4,3.7333333,15,33,6,5,3,13,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,38,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102117,1,2,1,17,2,35,2117,neusprachlich,3,3,4,3.2727273,4,4,4,3.4666667,16,,2,,3,,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,21,1,3
23,26,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102118,1,2,1,18,2,35,2118,neusprachlich,3,3,4,2.909091,4,4,4,3.1333334,15,34,1,1,2,12,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,24,1,3
5,9,15,22,33,35,,,,,,,,,,,,,,,,,,,,,,,,,,,102119,1,2,1,19,2,35,2119,neusprachlich,4,3,3,3.2727273,4,4,3,3.4000001,15,19,4,3,2,11,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,46,1,3
5,6,8,10,11,16,24,25,29,32,,,,,,,,,,,,,,,,,,,,,,,102120,1,2,1,20,2,35,2120,neusprachlich,4,4,4,3.6363637,4,4,4,3.5333333,15,35,9,2,2,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,62,1,3
11,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102121,1,2,1,21,2,35,2121,neusprachlich,3,2,3,2.3636363,3,2,1,2.2666667,15,41,1,1,1,12,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,38,1,3
15,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102122,1,2,1,22,2,35,2122,neusprachlich,2,2,3,2.1818182,4,3,2,2.8666666,15,33,,,2,17,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,46,1,3
1,2,4,5,8,9,11,12,15,18,21,22,25,26,27,28,30,31,33,34,,,,,,,,,,,,,102123,1,2,1,23,2,35,2123,neusprachlich,3,4,4,3.4545455,,,,,16,29,1,1,3,11,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22,1,3
5,8,9,16,20,25,28,29,32,,,,,,,,,,,,,,,,,,,,,,,,102124,1,2,1,24,2,35,2124,neusprachlich,3,4,4,3,3,2,3,2.5384614,15,42,13,13,1,17,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,44,1,3
20,21,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102125,1,2,1,25,2,35,2125,neusprachlich,3,3,3,2.5,4,3,3,2.7333333,14,33,10,3,2,13,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,43,1,3
15,30,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102126,1,2,1,26,2,35,2126,neusprachlich,4,2,2,2.7272727,3,3,2,2.7333333,16,38,1,1,2,17,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,24,1,3
5,8,10,26,28,33,,,,,,,,,,,,,,,,,,,,,,,,,,,102127,1,2,1,27,2,35,2127,neusprachlich,4,4,5,3.909091,4,4,4,3.7333333,15,34,2,1,3,14,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,32,1,3
2,3,4,6,7,12,16,17,20,24,25,26,27,29,32,33,,,,,,,,,,,,,,,,,102128,1,2,1,28,2,35,2128,neusprachlich,3,3,4,3.1818182,4,3,4,3.2142856,15,30,6,6,2,12,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,62,1,3
1,2,3,5,6,8,9,10,11,12,15,16,17,20,24,25,26,28,32,,,,,,,,,,,,,,102129,1,2,1,29,2,35,2129,neusprachlich,4,4,4,3.3636363,4,4,4,3.3333333,16,37,2,1,3,14,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,33,1,3
18,23,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102130,1,2,1,30,2,35,2130,neusprachlich,4,3,4,3.2727273,5,3,4,3.5999999,15,23,2,1,2,12,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,42,1,3
5,6,8,14,18,23,26,30,,,,,,,,,,,,,,,,,,,,,,,,,102131,1,2,1,31,2,35,2131,neusprachlich,4,4,4,3.6363637,4,4,2,3.3333333,16,35,1,1,2,10,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,24,1,3
10,16,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102132,1,2,1,32,2,35,2132,neusprachlich,4,4,4,3.4545455,5,4,4,3.6666667,15,29,6,1,3,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,57,1,3
5,8,9,10,15,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,102133,1,2,1,33,2,35,2133,neusprachlich,3,2,4,3.4545455,4,3,3,3.5333333,15,40,2,2,1,17,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,46,1,3
1,8,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102134,1,2,1,34,2,35,2134,neusprachlich,3,4,4,3.7272727,3,5,4,3.5999999,15,27,5,1,3,10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,69,1,3
